key,name,iataCode,operationalScope,city,country,website,email,phoneNumber
#base-example
airport-01,"Lorem ipsum dolor sit ame",NBN,INTERNATIONAL,"Lorem ipsum dolor sit ame","Lorem ipsum dolor sit ame",http://lorem.com/ipsum,acme@lorem-ipsum.org,2785524576
#name-examples
airport-02,"Lorem ipsum dolor sit ame",BBB,INTERNATIONAL,"Lorem ipsum dolor sit ame","Lorem ipsum dolor sit ame",http://lorem.com/ipsum,acme1@lorem-ipsum.org,2785524576
airport-03,"L",BBQ,INTERNATIONAL,"Lorem ipsum dolor sit ame","Lorem ipsum dolor sit ame",http://lorem.com/ipsum,acme2@lorem-ipsum.org,2785524576
airport-04,"Lo",BBW,INTERNATIONAL,"Lorem ipsum dolor sit ame","Lorem ipsum dolor sit ame",http://lorem.com/ipsum,acme3@lorem-ipsum.org,2785524576
airport-05,"Lorem ipsum dolor sit amet, consectetur adipiscin",BBE,INTERNATIONAL,"Lorem ipsum dolor sit ame","Lorem ipsum dolor sit ame",http://lorem.com/ipsum,acme4@lorem-ipsum.org,2785524576
airport-06,"Lorem ipsum dolor sit amet, consectetur adipiscing",BBR,INTERNATIONAL,"Lorem ipsum dolor sit ame","Lorem ipsum dolor sit ame",http://lorem.com/ipsum,acme5@lorem-ipsum.org,2785524576
airport-07,"โลเร็ม อิปซัม",BBT,INTERNATIONAL,"Lorem ipsum dolor sit ame","Lorem ipsum dolor sit ame",http://lorem.com/ipsum,acme6@lorem-ipsum.org,2785524576
airport-08,"لوريم إيبسوم",BBY,INTERNATIONAL,"Lorem ipsum dolor sit ame","Lorem ipsum dolor sit ame",http://lorem.com/ipsum,acme7@lorem-ipsum.org,2785524576
airport-09,"洛伦·伊普森",BBI,INTERNATIONAL,"Lorem ipsum dolor sit ame","Lorem ipsum dolor sit ame",http://lorem.com/ipsum,acme8@lorem-ipsum.org,2785524576
airport-10,"<marquee>Hacked</marquee>",BBO,INTERNATIONAL,"Lorem ipsum dolor sit ame","Lorem ipsum dolor sit ame",http://lorem.com/ipsum,acme9@lorem-ipsum.org,2785524576
airport-11,"<script>alert(‘Hacked!’);</script>",BBP,INTERNATIONAL,"Lorem ipsum dolor sit ame","Lorem ipsum dolor sit ame",http://lorem.com/ipsum,acme10@lorem-ipsum.org,2785524576
airport-12,"' or 'A' = 'A ",BBV,INTERNATIONAL,"Lorem ipsum dolor sit ame","Lorem ipsum dolor sit ame",http://lorem.com/ipsum,acme11@lorem-ipsum.org,2785524576
#IATAcode-examples
airport-13,"Lorem ipsum dolor sit ame",LDE,INTERNATIONAL,"Lorem ipsum dolor sit ame","Lorem ipsum dolor sit ame",http://lorem.com/ipsum,acme12@lorem-ipsum.org,2785524576
